重新整理和設定by Player 5/7/1996
黑暗大陸的explore經驗分配 (總共40個經驗點)

    # 表示是新加上的, 共 7 個.
  
難度:
    *   簡簡單單; 
   **   有點難,不是要智商就是要運氣; 
  ***   哇, 幾乎不可能完成。


- 黑暗大陸一般地圖
     *0   第一次到達黑暗大陸
 #   *1   搬石頭使碼頭水底洞穴顯現
 #   *2   找到巨人的祭壇
 #   *3   嘗試進入深淵的霧中     
     *4   在廢棄的監獄尋找巨人魔法師林頓(Lindn)的手記
     *5   鑽進井底的裂縫
    **6   進入賽倫的洞穴發現地上的骷髏
     *7   在矮人礦坑中挖掘擋在路中的亂石堆
     *8   想辦法由皇城內的井底爬出
     *9   在矮人村落的會議場找尋黑灰色的鑰匙
 #  *10   找尋圖畫後的密道
 #  *11   進入矮人的避難所


- 皇后的微笑任務相關點數 
  ***12   進入皇后莉莉絲的起居室
  ***13   找到王子的靈魂
   **14   蝙蝠洞中引出主動攻擊怪物
   **15   在謬思泉觀看謬思泉泉水   
   **16   進入一個奇怪的洞穴見到殺手
  ***17   到神秘祭壇熄滅烈火
   **18   在遺蹟地下儲藏室見到怨靈萊特(Wight Leit)
   **19   在議會找尋紫水晶
   **20   觀看遺蹟中昂德沃城國民會議的告示 
   **21   遺蹟中和雕像握手 
   **22   找尋灰暗之島沙洲的秘密通道
    *23   灰暗之島沙洲吹響號角
   **24   找尋可以中和謬思泉水毒素的蘑菇
   **25   按下牆上的按鈕
   **26   回答長老安洛的密語
   **27   觀看摩兒的房間的魔法瓶
  ***28   證實謬思泉的存在
   **29   詢問安洛有關鈴鐺事宜
  ***30   幫安琪拉找回失落的家傳寶物
  ***31   幫助萊特找他的兄弟
  ***32   製作水晶磁卡

   
- 跟NPC互動的經驗點數
    *33   詢問卡爾服德有關恿者的事
    *34   殺死蘭耳達
   **35   送眼魔護盾圓球給吸血鬼冒險者 
    *36   請守衛喝蘋果汁
  ***37   殺死矮人國王
#   *38   矮人作家的苦惱  
#   *39   完成拉克西絲的心願 
